Feature_Type,MCC,Feature_Count
Z5,0.8845398087834451,17
AAC,0.8142692974625748,9
CTDC,0.8075235905642245,11
ABHPRK,0.7984157684500288,14
CTDD,0.7418168208745245,49
CKSAAGP,0.737523411111337,26
Z3,0.7350911531066576,8
CTDT,0.7170163935473124,10
Cougar,0.7056185791545809,6
QSO3,0.6650141158184324,4
Calculate,0.6466671112997512,1
APAAC,0.646016132959502,6
Charge,0.6376630924905626,3
PAAC,0.5997938900693568,9
OVPC,0.5995555556639037,3
MSW,0.5813863342625887,6
CKSAAP,0.5248873474179796,10
Isoelectric,0.522490375424081,1
Ez,0.5038208601808853,8
MotifBitVec,0.48418327094531477,10
Janin,0.47695127347397626,1
NMBroto,0.47455375055481164,12
Eisenberg,0.45942260156681425,1
DDR,0.451891774839475,5
Argos,0.43268676325496797,1
Shannon-Entropy,0.40411665468760055,1
Geary,0.40257153730021766,7
Moran,0.4004536619288893,5
TM,0.3995644910134521,1
Kytedoolittle,0.3993835074253188,1
Gravy,0.39011451036191586,1
Hopp,0.3819237233922556,1
GTPC,0.33288344478246235,2
Hydrophobic,0.32962483416099436,1
Polarity,0.327579750224438,1
OVP,0.31929114162312383,4
Instability,0.2715041490172868,1
DDE,0.2596743788750814,15
GAAC,0.21566882994952785,1
Aliphatic,0.1694166122022508,1
formula,0.1384946088951654,1
CTriad,0.12318612208871556,4
Levitt,-0.06510515756135875,1
